127.0.0.1 - - [19/Oct/2017:14:28:30 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Oct/2017:14:28:34 +0800] "GET /imu_javaweb_work6/jsp/login.jsp HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [19/Oct/2017:14:28:35 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [19/Oct/2017:14:29:06 +0800] "GET /imu_javaweb_work6/login.jsp HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [19/Oct/2017:14:29:20 +0800] "POST /imu_javaweb_work6/loginCheck.html;jsessionid=0BFD2AF4AA3FB43C1220F28670977585 HTTP/1.1" 500 20006
0:0:0:0:0:0:0:1 - - [19/Oct/2017:14:30:06 +0800] "POST /imu_javaweb_work6/loginCheck.html;jsessionid=0BFD2AF4AA3FB43C1220F28670977585 HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [19/Oct/2017:14:59:33 +0800] "POST /imu_javaweb_work6/loginCheck.html;jsessionid=0BFD2AF4AA3FB43C1220F28670977585 HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [19/Oct/2017:15:11:02 +0800] "POST /imu_javaweb_work6/loginCheck.html;jsessionid=0BFD2AF4AA3FB43C1220F28670977585 HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [19/Oct/2017:15:11:13 +0800] "POST /imu_javaweb_work6/loginCheck.html HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [19/Oct/2017:16:45:01 +0800] "POST /imu_javaweb_work6/loginCheck.html;jsessionid=0BFD2AF4AA3FB43C1220F28670977585 HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [19/Oct/2017:17:04:06 +0800] "POST /imu_javaweb_work6/loginCheck.html;jsessionid=0BFD2AF4AA3FB43C1220F28670977585 HTTP/1.1" 200 389
